Domain_Name,Organization_Name
csrtipam.res.in,"Central Sericultural Research and Training Institute, Kashmir, Jammu and Kashmir"
cstaricalcutta.gov.in,"Central Staff Training and Research Institute (CSTARI), Kolkata"
cstri.res.in,"Central Silk Technological Research Institute (CSTRI), Bangalore"
cstshimla.nic.in,"Central school for Tibetans, Shimla, Himachal Pradesh"
cstt.nic.in,Commisssion for Scientific and Technical Terminology (CSTT)
cswb.gov.in,Central Social Welfare Board (CSWB)
cswcrtiweb.org,"Central Soil And Water Conservation Research and Training Institute, Dehra Dun, Uttarakhand"
ctbn.gov.in,"Goods & Service Tax (GST) Commissionerate, Bengaluru North"
ctcri.org,Central Tuber Crops Research Institute (CTCRI)
ctri.icar.gov.in,"Central Tobacco Research Institute, Rajahmundry, Andhra Pradesh"
ctri.nic.in,"Clinical Trials Registry- India (CTRI), ational Institute of Medical Statistics (ICMR)"
ctrludhiana.com,"Central Tool Room(CTR), Ludhiana, Punjab"
ctrtiranchi.co.in,"Central Tasar Research and Training Institute, Ranchi, Jharkhand"
ctsa.nic.in,Central Tibetan Schools Administration (CTSA)
cttc.gov.in,"Central Tool Room & Training Centre (MSME Tool Room), Bhubaneswar"
cttckol.bsnl.co.in,"Circle Telecom Training Centre ( CTTC ),  Kolkata, West Bengal"
cttctvm.bsnl.co.in,"Circle Telecom Training Centre (CTTC), Thiruvananthapuram"
cub.ac.in,Central University of Bihar (CUB)
cuh.ac.in,Central University of Haryana
cuhimachal.ac.in,Central University of Himachal Pradesh
cuk.ac.in,Central University of Karnataka
cukashmir.ac.in,Central University of Kashmir
culturenorthindia.com,"North Zone Cultural Center, Sheesh Mahal, Patiala"
cuo.ac.in,Central University of Odisha (CUO)
cup.ac.in,Central University of Punjab (CUP)
curaj.ac.in,Central University of Rajasthan
customsigia.gov.in,"Commissionerate of Customs, Indira Gandhi International Airport, New Delhi"
customsmangalore.gov.in,Mangalore Customs
customspatna.gov.in,"Customs (Preventive) Commissionerate, Patna"
customstrichy.gov.in,Trichy Customs
cutn.ac.in,Central University of Tamil Nadu
cuts.ac.in,"Central University of Tibetan Studies (CUTS),  Sarnath, Uttar Pradesh"
cvc.gov.in,Central Vigilance Commission(CVC)
cwc.gov.in,Central Water Commission (CWC)
cwds.ac.in,Centre for Womens Development Studies (CWDS)
cwprs.gov.in,Central Water and Power Research Station (CWPRS)
cxgreaternoida.gov.in,"Customs & Central Excise Commissionerate, Noida-II (Greater Noida)"
cyatindia.gov.in,Cyber Appellate Tribunal (CyAT)
cybercrime.gov.in,Cybercrime Reporting Portal by Ministry of Home Affairs
cyberswachhtakendra.gov.in,Cyber Swachhta Kendra - Botnet Cleaning and Malware Analysis Centre
cycord.gov.in,"CyCord portal, Cyber Coordination Centre, MHA"
cza.nic.in,Central Zoo Authority (CZA)
dadf.gov.in,Department of Animal Husbandry and Dairying
dadguesthouses.gov.in,"Guest House Booking Management System, Defence Accounts Department (DAD)"
dae.nic.in,Department of Atomic Energy
dahd.nic.in,"Ministry of Fisheries, Animal Husbandry and Dairying"
damancgst.gov.in,"Central GST & Central Excise Commissionerate, Daman"
dare.gov.in,Department of Agricultural Research and Education (DARE)
darpg.gov.in,Department of Administrative Reforms and Public Grievances (DARPG)
dasd.gov.in,Directorate of Arecanut and Spices Development (DSAD)
dashboard-padmaawards.gov.in,Padma Awards Dashboard
data.gov.in,Open Government Data Platform India
davp.nic.in,Directorate of Advertising and Visual Publicity (DAVP)
dbtapp.gov.in,Direct Benefit Transfer Portal
dbtbharat.gov.in,"Direct Benefit Transfer (DBT), Government of India"
dbtbiosafety.nic.in,Indian Biosafety Rules and Regulations
dbtctep.gov.in,"Conference, Travel, Exhibition and Popular Lectures(CTEP) by Department of Biotechnology"
dbtdacfw.gov.in,Direct Benefit Transfer (DBT) Portal for Agriculture Schemes
dbthandicrafts.gov.in,"Direct Benefit Transfer (DBT), Handicraft Sector"
dbtindia.nic.in,"Department of Biotechnology (DBT), Government of India"
dbtmarineprog.gov.in,"Aquaculture and Marine Biotechnology, Department of Biotechnology, New Delhi"
dbtmicropropagation.nic.in,Consortium on Micropropagation Research and Technology Development
dbtmis-msje.gov.in,"Direct Benefits Transfer (DBT), Department of Social Justice & Empowerment"
dbtmis.planningcommission.nic.in,"Direct Benefit Transfer (DBT), MIS - DBT Planning Commission, New Delhi"
dbtncstcp.nic.in,National Certification System for Tissue Culture Plants (NCS-TCP)
dcalib.nic.in,"Online Library Catalog, Department of Consumer Affairs"
dccd.gov.in,Directorate of Cashewnut and Cocoa Development (DCCD)
dcfr.res.in,"Directorate of Coldwater fisheries Research, Uttarakhand"
dciindia.gov.in,Dental Council of India
dcmmis.nic.in,"Disciplinary Cases Monitoring and Management Information System, Ministry of Personnel, Public Grievances and Pensions"
dcmsme.gov.in,"Development Commissioner (MSME), Ministry of Micro, Small and Medium Enterprises"
dcpw.gov.in,Directorate of Coordination Police Wireless
dcsem.gov.in,"Directorate of Construction, Services and Estate Management (DCSEM)"
ddbangla.gov.in,"DD Bangla - Doordarshan Kendra, Kolkata"
ddbhopal.nic.in,"Doordarshan Kendra, Bhopal"
ddchandana.gov.in,"DD Chandana - Doordarshan Kendra Bangalore, Karnataka"
ddgirnar.com,"Doordarshan Kendra, Ahmedabad"
ddindia.gov.in,Doordarshan - National Television Network
ddinews.gov.in,Doordarshan of India News
ddjaipur.net,"Doordarshan Kendra, Jaipur"
ddkbbsr.gov.in,"Doordarshan Kendra, Bhubaneswar"
ddkguwahati.gov.in,"Doordarshan Kendra, Guwahati"
ddktvm.gov.in,"Doordarshan Kendra, Thiruvananthapuram"
ddlucknow.com,"Doordarshan Kendra, Lucknow"
ddpdos.gov.in,"Directorate of Standardisation, New Delhi"
ddpmod.gov.in,Department of Defence Production
ddpunjabi.in,"DD Punjabi, Doordarshan Kendra, Jalandhar"
ddsaptagiri.tv,"Doordarshan Kendra, Hyderabad (DD Saptagiri)"
ddugky.gov.in,Deen Dayal Upadhyaya Grameen Kaushalya Yojana (DDU-GKY)
dea.gov.in,Department of Economic Affairs
deendayalport.gov.in,"Deendayal Port Trust, Gandhidham, Kutch, Gujarat"
defenceexim.gov.in,"Defence Exports Promotion, Ministry of Defence"
defenceinvestorcell.gov.in,"Defence Investor Cell, Department of Defence Production, Ministry of Defence"
defproc.gov.in,eProcurement Portal of Ministry of Defence
defstand.gov.in,Directorate of Standardisation
delcon.gov.in,DeLCON: DBT-Electronic Library Consortium
delhi.gov.in,"National Cadet Corps (NCC), Delhi"
delhicustoms.gov.in,"Air Cargo Complex Imports and Exports, Delhi Customs, New Delhi"
deptpub.gov.in,Department of Publication
designclinicsmsme.org,"Design Clinic Scheme for Design Expertise Ministry of Micro, Small & Medium Enterprises (MSME), New Delhi"
designdiary.nic.in,National Centre for Textile Design (NCTD)
desw.gov.in,Department of Ex-Servicemen Welfare
dfccil.gov.in,Dedicated Freight Corridor Corporation of India (DFCCIL)
dff.nic.in,Directorate of Film Festivals
dfp.gov.in,Directorate of Field Publicity (DFP)
dfpd.gov.in,Department of Food and Public Distribution
dfpd.nic.in,"Directorate of Vanaspati, Vegetable Oils and Fats (DVVOF)"
dfpdlibrary.nic.in,"Online Library Catalog, Department of Food and Public Distribution"
dfs.nic.in,Directorate of Forensic Science Services (DFSS)
dgace.cag.gov.in,Director General of Audit (Central Expenditure)
dgaeroqa.gov.in,The Directorate General of Aeronautical Quality Assurance
dgantiprofiteering.gov.in,"Directorate General of Anti-profiteering, CBIC"
dgca.gov.in,Directorate General of Civil Aviation (DGCA)
dgcd.nic.in,Director General of Civil Defence
dgciskol.gov.in,Directorate General of Commercial Intelligence and Statistics (DGCI&S)
dgde.gov.in,"Director General of Defence Estates(DGDE), Ministry of Defence"
dget.gov.in,"Directorate General of Training (DGT),  Ministry of Skill Development and Entrepreneurship"
dget.nic.in,Craftsmen Training Scheme
dgfasli.gov.in,"Directorate General, Factory Advice Service and Labour Institutes (DGFASLI)"
dgfscdhg.gov.in,"Directorate General of Fire Services, Civil Defence & Home Guards, Ministry of Home Affairs"
dgft.gov.in,Directorate General of Foreign Trade (DGFT)
dgftkolkata.wb.nic.in,"Zonal Joint Director General of Foreign Trade, Kolkata"
dghindia.gov.in,"Directorate General of Hydrocarbons (DGH), Noida"
dghrdcbic.gov.in,Directorate General of Human Resource Development (HRD)
dgicce.nic.in,"Directorate General of Inspection, Customs and Central Excise (DGICEE)"
dgll.gov.in,Directorate General of Lighthouses and Lightships
dgmap.gov.in,Directorate General of Married Accommodation Project (DG MAP)
dgms.gov.in,Directorate General of Mines Safety (DGMS)
dgqadefence.gov.in,"Directorate of Quality Assurance, Bangalore"
dgqadefence.nic.in,Directorate General of Quality Assurance ( DGQA)
dgrindia.com,"Directorate General Resettlement (DGR), Ministry of Defence"
dgshipping.gov.in,"Directorate General of Shipping, Mumbai"
dgtr.gov.in,Directorate General Of Trade Remedies (Directorate General of Anti-Dumping and Allied Duties)
dhr.gov.in,"Department of Health Research, Ministry of Health & Family Welfare"
dhr.indianrailways.gov.in,Darjeeling Himalayan Railway
dial.gov.in,Dial.gov - Common Man's Interface to Welfare Schemes
diamondinstitute.net,Indian Diamond Institute
dicgc.org.in,"Deposit Insurance and Credit Guarantee Corporation, Mumbai"
digidhan.mygov.in,"DigiDhan: Go Cashless, Go Digital"
digidhanlucky.mygov.in,Lucky Grahak Yojana and Digi-Dhan Vyapar Yojana
digisevak.gov.in,DigiSevak - Digital India Volunteer Programme
digitalindia.gov.in,"Digital India Programme, Government of India"
digitalindiaawards.gov.in,Digital India Awards 2016 (earlier known as WebRatna Awards)
digitaljagriti.in,"Digital Finance Inclusion, Awareness & Access (DFIAA)"
digitallocker.gov.in,"DigiLocker - Dedicated personal storage space, linked to resident’s Aadhaar number"
digitalmsme.gov.in,"Digital MSME Scheme, Ministry of Micro, Small & Medium Enterprises"
digitalpolice.gov.in,"Digital Police Portal by  NCRB, MHA"
